district,price,surface,rooms_num,floor_no,building_floors_num,construction_status,market,build_year,transit_dur_m
13,592000.0,29.35,2.0,6.0,10.0,1,0,2025.0,32.38333333333333
5,798350.0,45.62,3.0,1.0,3.0,1,0,2026.0,40.71666666666667
16,1630000.0,61.84,3.0,2.0,5.0,2,1,2012.0,44.21666666666667
7,1001319.0,47.91,2.0,2.0,6.0,1,0,2025.0,19.233333333333334
2,684768.0,30.57,1.0,1.0,5.0,1,0,2027.0,50.96666666666667
12,1850000.0,90.2,4.0,2.0,4.0,2,1,2010.0,78.16666666666667
1,757000.0,57.92,4.0,3.0,5.0,2,1,2023.0,52.516666666666666
3,780000.0,46.0,2.0,0.0,4.0,2,1,1937.0,45.1
6,846195.0,52.42,2.0,0.0,5.0,1,0,2024.0,43.31666666666667
7,710215.0,38.39,2.0,0.0,6.0,1,0,2025.0,21.866666666666667
14,1056627.0,73.89,3.0,1.0,6.0,1,0,2025.0,41.11666666666667
2,770910.0,36.71,1.0,3.0,8.0,1,0,2025.0,57.35
1,583885.0,37.67,2.0,0.0,3.0,1,0,2025.0,46.65
7,660000.0,48.0,2.0,1.0,7.0,1,0,2025.0,46.483333333333334
1,776378.0,60.03,3.0,0.0,3.0,1,0,2026.0,59.416666666666664
7,1001319.0,47.91,2.0,2.0,6.0,1,0,2025.0,19.233333333333334
3,769000.0,35.0,2.0,0.0,3.0,2,1,1952.0,31.683333333333334
15,1083000.0,57.0,2.0,4.0,8.0,0,1,1957.0,32.71666666666667
11,916940.0,72.2,4.0,3.0,3.0,1,0,2026.0,61.266666666666666
6,880000.0,54.79,2.0,4.0,4.0,2,1,2010.0,43.31666666666667
9,800186.0,59.3,3.0,0.0,3.0,1,0,2024.0,57.333333333333336
11,927123.0,78.0,4.0,1.0,1.0,1,0,2026.0,43.88333333333333
13,1399000.0,70.6,3.0,2.0,11.0,2,1,2008.0,39.9
13,745000.0,50.0,3.0,10.0,10.0,2,1,1980.0,36.016666666666666
14,927000.0,61.8,3.0,4.0,6.0,1,0,2025.0,41.11666666666667
15,919000.0,55.0,3.0,7.0,9.0,2,1,1968.0,32.766666666666666
1,549000.0,45.9,2.0,0.0,7.0,2,1,2003.0,70.75
10,720000.0,42.0,2.0,2.0,4.0,2,1,1979.0,54.88333333333333
1,787622.0,57.44,3.0,3.0,5.0,1,0,2026.0,54.56666666666667
11,1286434.11,76.93,4.0,1.0,5.0,2,0,2025.0,53.65
14,484500.0,25.31,1.0,3.0,3.0,1,0,2024.0,52.1
9,394695.32,27.45,1.0,1.0,3.0,1,0,2026.0,58.6
10,830000.0,69.4,3.0,8.0,8.0,1,1,1980.0,62.0
4,1590000.0,84.0,3.0,2.0,12.0,2,1,2001.0,45.11666666666667
12,950000.0,40.7,2.0,0.0,4.0,2,1,2009.0,62.18333333333333
9,1069000.0,77.21,4.0,2.0,2.0,2,0,2025.0,58.86666666666667
6,1199279.34,92.58,4.0,3.0,6.0,1,0,2025.0,35.516666666666666
1,787622.0,57.44,3.0,3.0,5.0,1,0,2026.0,54.56666666666667
9,616671.0,38.22,2.0,0.0,4.0,1,0,2026.0,68.2
8,740000.0,51.82,3.0,2.0,6.0,1,0,2026.0,29.666666666666668
8,690786.84,43.04,2.0,1.0,5.0,1,0,2026.0,29.666666666666668
8,715662.0,45.53,2.0,5.0,7.0,1,0,2026.0,29.666666666666668
9,805500.0,45.0,2.0,0.0,4.0,2,1,1958.0,55.96666666666667
3,840188.0,39.64,2.0,1.0,5.0,1,0,2025.0,53.016666666666666
9,899000.0,58.33,3.0,5.0,8.0,2,1,2016.0,57.78333333333333
10,1859910.0,95.38,4.0,2.0,3.0,1,0,2025.0,63.083333333333336
3,1250000.0,37.23,2.0,1.0,2.0,2,1,2024.0,60.05
13,689000.0,40.0,2.0,8.0,9.0,2,1,1977.0,40.18333333333333
14,645000.0,32.88,2.0,3.0,6.0,2,1,2024.0,55.31666666666667
4,880000.0,53.5,2.0,3.0,3.0,1,1,2002.0,42.31666666666667
12,1420000.0,72.52,3.0,4.0,4.0,1,1,2025.0,79.11666666666666
0,870000.0,42.7,2.0,1.0,4.0,2,1,2018.0,51.63333333333333
6,1170000.0,70.26,3.0,2.0,5.0,2,1,2021.0,40.85
1,649253.0,45.2,2.0,6.0,8.0,1,0,2027.0,72.76666666666667
2,1290000.0,59.5,3.0,2.0,6.0,2,1,2016.0,37.016666666666666
12,1500000.0,69.0,3.0,1.0,4.0,2,1,2011.0,63.63333333333333
15,1050000.0,45.56,2.0,3.0,5.0,0,1,1949.0,34.4
11,1449000.0,101.0,4.0,0.0,2.0,2,0,2017.0,46.483333333333334
13,339000.0,16.0,1.0,0.0,3.0,0,1,1960.0,34.53333333333333
2,1089675.0,48.43,2.0,4.0,5.0,1,0,2027.0,50.96666666666667
5,779000.0,61.54,4.0,4.0,10.0,0,1,1974.0,21.866666666666667
13,788000.0,37.55,2.0,2.0,4.0,2,1,1953.0,70.53333333333333
5,533900.0,35.63,1.0,1.0,3.0,0,1,1954.0,21.3
3,1040000.0,47.42,3.0,8.0,11.0,2,1,1970.0,51.65
16,699000.0,47.0,2.0,7.0,10.0,0,1,1965.0,35.9
15,809000.0,53.0,3.0,4.0,4.0,1,1,1958.0,37.7
13,935000.0,47.0,2.0,2.0,7.0,2,1,2017.0,45.18333333333333
1,649253.0,45.2,2.0,6.0,8.0,1,0,2027.0,72.76666666666667
16,1740000.0,59.6,3.0,1.0,5.0,2,1,2016.0,50.06666666666667
9,835000.0,38.33,2.0,5.0,7.0,2,1,2023.0,59.38333333333333
1,704100.0,46.94,2.0,2.0,3.0,1,0,2025.0,46.65
3,839999.0,49.5,3.0,3.0,6.0,0,1,1957.0,33.15
1,499000.0,38.4,1.0,1.0,8.0,2,1,2007.0,63.78333333333333
0,879000.0,63.0,3.0,6.0,9.0,2,1,1986.0,43.18333333333333
6,745000.0,62.3,3.0,2.0,16.0,2,1,1982.0,43.96666666666667
7,620000.0,34.0,1.0,3.0,4.0,2,1,1930.0,28.35
6,535000.0,32.9,2.0,9.0,12.0,2,1,1978.0,34.13333333333333
13,715000.0,54.31,3.0,10.0,11.0,2,1,1975.0,36.016666666666666
15,829000.0,47.5,2.0,3.0,10.0,2,1,1966.0,28.733333333333334
3,697674.0,36.67,2.0,0.0,7.0,1,0,2026.0,55.28333333333333
6,1170000.0,70.26,3.0,2.0,5.0,2,1,2021.0,40.833333333333336
1,564000.0,44.5,2.0,0.0,7.0,2,1,2000.0,70.75
1,680000.0,56.3,2.0,3.0,3.0,2,1,2008.0,43.5
6,1212000.0,58.2,3.0,3.0,8.0,2,1,2010.0,27.8
1,452704.5,34.69,2.0,2.0,2.0,1,0,2026.0,48.93333333333333
1,704100.0,46.94,2.0,2.0,3.0,1,0,2025.0,46.65
12,965412.0,47.16,2.0,1.0,4.0,1,0,2025.0,73.65
10,1586655.0,83.95,4.0,1.0,3.0,1,0,2025.0,55.96666666666667
14,1054800.0,70.32,3.0,4.0,6.0,1,0,2025.0,41.11666666666667
3,927528.0,55.68,3.0,0.0,7.0,1,0,2026.0,55.28333333333333
14,1079000.0,50.6,2.0,2.0,2.0,2,1,2023.0,56.63333333333333
1,939000.0,69.7,3.0,2.0,3.0,2,1,2004.0,60.7
3,1450000.0,80.4,4.0,4.0,6.0,0,1,1961.0,41.18333333333333
12,1350000.0,87.9,3.0,0.0,3.0,0,1,2010.0,63.2
2,1340000.0,74.0,3.0,5.0,10.0,2,1,1990.0,37.233333333333334
14,574000.0,30.0,2.0,3.0,3.0,2,1,1960.0,52.1
3,1175000.0,73.9,3.0,1.0,4.0,2,1,1991.0,57.983333333333334
6,1240000.0,54.88,2.0,10.0,17.0,2,1,2018.0,40.833333333333336
10,930000.0,83.1,4.0,3.0,3.0,0,1,1985.0,61.63333333333333
0,1049000.0,70.0,3.0,5.0,5.0,1,0,2025.0,37.2
13,725000.0,40.5,2.0,3.0,3.0,2,1,1959.0,32.11666666666667
2,725000.0,56.0,3.0,2.0,10.0,0,1,1973.0,41.46666666666667
7,1300000.0,65.35,3.0,2.0,6.0,2,1,2023.0,43.75
2,1050000.0,56.82,3.0,1.0,8.0,2,1,2015.0,55.86666666666667
2,930000.0,45.51,2.0,2.0,10.0,2,1,2017.0,30.433333333333334
13,1781000.0,41.4,2.0,5.0,8.0,1,0,2026.0,34.4
13,720000.0,49.0,3.0,0.0,3.0,0,1,1964.0,37.7
4,948000.0,73.0,3.0,1.0,11.0,0,1,1992.0,50.81666666666667
0,999000.0,48.5,2.0,0.0,10.0,2,1,2008.0,37.2
2,695000.0,49.1,3.0,6.0,10.0,2,1,1968.0,40.38333333333333
1,810000.0,54.0,3.0,1.0,5.0,2,1,2020.0,51.3
4,949000.0,50.0,2.0,10.0,11.0,2,1,2010.0,41.266666666666666
13,899000.0,47.5,2.0,10.0,12.0,1,1,2017.0,42.46666666666667
10,1270000.0,62.0,3.0,2.0,4.0,2,1,2019.0,60.56666666666667
3,390000.0,19.0,1.0,9.0,16.0,0,1,1968.0,46.88333333333333
0,1149000.0,75.0,2.0,3.0,3.0,1,1,2025.0,37.2
13,624900.0,38.0,2.0,6.0,10.0,2,1,1968.0,37.7
2,1149900.0,66.34,4.0,2.0,12.0,2,1,1980.0,56.75
12,1559000.0,67.0,3.0,3.0,4.0,2,1,2023.0,79.11666666666666
9,740000.0,42.0,2.0,1.0,6.0,2,1,2016.0,65.95
9,1025000.0,82.72,4.0,2.0,2.0,1,0,2025.0,59.38333333333333
13,1600000.0,50.9,2.0,4.0,7.0,1,0,2025.0,32.38333333333333
3,899000.0,45.5,2.0,0.0,7.0,2,1,2022.0,59.31666666666667
3,750000.0,39.49,2.0,6.0,10.0,2,1,1972.0,61.016666666666666
7,790000.0,63.0,3.0,0.0,3.0,2,1,1984.0,20.75
2,719000.0,48.5,3.0,4.0,4.0,2,1,1972.0,49.53333333333333
